,job_title,company_name,inferred_city,inferred_state,inferred_country,post_date,salary_offered
3775,Data Scientist,AXIOLOGIC SOLUTIONS,Fairfax,Virginia,United states,7/4/2019,
3776,Data Scientist,SOCIAL SCIENCE RESEARCH SOLUTIONS (SSRS),,Pennsylvania,United states,7/4/2019,
3777,Data Scientist,SYNGENTA,Slater,Iowa,United states,7/4/2019,
3778,Data Scientist,KFORCE TECHNOLOGY STAFFING,Redmond,Washington,United states,7/5/2019,
3779,Data Scientist,KPMG,New york,New york,United states,7/4/2019,
3780,Data Scientist,AETNA,New york,New york,United states,7/5/2019,
3781,Data Scientist,IBM,United,Pennsylvania,United states,7/5/2019,
3782,Data Scientist,SOCIAL SCIENCE RESEARCH SOLUTIONS (SSRS),,Pennsylvania,United states,7/5/2019,
3783,Data Scientist,UNIVERSITY OF CALIFORNIA SAN FRANCISCO,San francisco,California,United states,7/5/2019,
3784,Data Scientist,SYSCO,West,Texas,United states,7/5/2019,
3785,Data Scientist,THOMSON REUTERS,Eagan,Minnesota,United states,7/5/2019,
3786,Data Scientist,STEFANINI,Waltham,Massachusetts,United states,7/5/2019,
3787,Data Scientist,STEFANINI,New york,New york,United states,7/5/2019,
3788,Data Scientist,WEYERHAEUSER,Seattle,Washington,United states,7/5/2019,
3789,Data Scientist,AETNA,Denver,Colorado,United states,7/5/2019,
3790,Data Scientist,TYNKER,Mountain view,California,United states,7/4/2019,
3791,Data Scientist,SOCIAL SCIENCE RESEARCH SOLUTIONS (SSRS),,Pennsylvania,United states,7/5/2019,
3792,Data Scientist,TATARI,Santa monica,California,United states,7/4/2019,
3793,Data Scientist,GOAT,Los angeles,California,United states,7/4/2019,
3794,Data Scientist,WEYERHAEUSER,,Oregon,United states,7/5/2019,
3795,Data Scientist,ALLSTATE,Chicago,Illinois,United states,7/5/2019,
3796,Data Scientist,TECHNOMIC,Chicago,Illinois,United states,7/4/2019,
3797,Data Scientist,WEYERHAEUSER,,Oregon,United states,7/5/2019,
3798,Data Scientist,OPENTEXT,San mateo,California,United states,7/5/2019,
3799,Data Scientist,EBAY INC.,Austin,Texas,United states,7/5/2019,
3800,Data Scientist,VALASSIS DIGITAL,,Oregon,United states,6/5/2019,
3801,Data Scientist,INFISWIFT TECHNOLOGIES,Milpitas,California,United states,7/5/2019,
3802,Data Scientist,KPMG,Irvine,California,United states,7/4/2019,
3803,Data Scientist,INDEED PRIME,,Oregon,United states,7/5/2019,
3804,Data Scientist,INDEED PRIME,,Oregon,United states,7/5/2019,
3805,Data Scientist,CYBERCODERS,Santa cruz,California,United states,7/3/2019,
3806,Data Scientist,VANGUARD,Malvern,Pennsylvania,United states,5/3/2019,
3807,Data Scientist,NIGEL FRANK INTERNATIONAL,Philadelphia,Pennsylvania,United states,7/3/2019,
3808,Data Scientist,THE JUDGE GROUP,Philadelphia,Pennsylvania,United states,7/5/2019,
3809,Data Scientist,RANDSTAD TECHNOLOGIES,Philadelphia,Pennsylvania,United states,7/3/2019,
3810,Data Scientist,CLEAN HARBORS,,Massachusetts,United states,7/4/2019,
3811,Data Scientist,THE JUDGE GROUP,Scotts valley,California,United states,7/2/2019,
3812,Data Scientist,CYBERCODERS,San francisco,California,United states,7/3/2019,
3813,Data Scientist,CYBERCODERS,Boston,Massachusetts,United states,7/3/2019,
3814,Data Scientist,MERIDIAN,Detroit,Michigan,United states,7/4/2019,
3815,Data Scientist,CITISTAFF,Ann arbor,Michigan,United states,7/3/2019,
3816,Data Scientist,NIGEL FRANK INTERNATIONAL,Charlotte,North carolina,United states,7/3/2019,
3817,Data Scientist,HAYS,New york,New york,United states,7/3/2019,
3818,Data Scientist,NIGEL FRANK INTERNATIONAL,Chicago,Illinois,United states,7/3/2019,
3819,Data Scientist,CYBERCODERS,Hollywood,California,United states,7/3/2019,
3820,Data Scientist,ZULILY,Seattle,Washington,United states,7/3/2019,
3821,Data Scientist,THE JUDGE GROUP,Scotts valley,California,United states,7/2/2019,
3822,Data Scientist,INTERACTIVE BROKERS,Greenwich,Connecticut,United states,7/3/2019,
3823,Data Scientist,APTIV,Troy,Michigan,United states,7/5/2019,
3824,Data Scientist,BOOZ ALLEN HAMILTON,Alexandria,Virginia,United states,7/3/2019,
3825,Data Scientist,CAPITAL ONE,Vienna,Virginia,United states,7/5/2019,
3826,Data Scientist,CAPITAL ONE,Vienna,Virginia,United states,7/5/2019,
3827,Data Scientist,105 ICF RESOURCES,Fairfax,Virginia,United states,7/5/2019,
3828,Data Scientist,SEMA4,Stamford,Connecticut,United states,7/3/2019,
3829,Data Scientist,INITIATE GOVERNMENT SOLUTIONS,Atlanta,Georgia,United states,7/3/2019,
3830,Data Scientist,PARSONS,Aberdeen,Maryland,United states,6/30/2019,
3831,Data Scientist,CYBERCODERS,Mountain view,California,United states,7/5/2019,
3832,Data Scientist,PFIZER,Groton,Connecticut,United states,7/4/2019,
3834,Data Scientist,CYBERCODERS,Seattle,Washington,United states,7/5/2019,
3835,Data Scientist,NIGEL FRANK INTERNATIONAL,Washington,District of columbia,United states,7/2/2019,
3836,Data Scientist,AVERITY,New york,New york,United states,7/2/2019,
3837,Data Scientist,OPEN SYSTEMS TECHNOLOGIES,New york,New york,United states,7/2/2019,
3838,Data Scientist,HUMANA CAREER,Louisville,Kentucky,United states,7/3/2019,
3839,Data Scientist,HUMANA,Vancouver,Washington,United states,7/3/2019,
3840,Data Scientist,DLH,Atlanta,Georgia,United states,7/3/2019,
3841,Data Scientist,JOHNS HOPKINS APPLIED PHYSICS LABORATORY,Laurel,Maryland,United states,7/3/2019,
3842,Data Scientist,SOCIAL SCIENCE RESEARCH SOLUTIONS (SSRS),,Pennsylvania,United states,7/6/2019,
3843,Data Scientist,GENOMIC HEALTH,Redwood city,California,United states,7/6/2019,
3844,Data Scientist,WALMART,Bentonville,Arkansas,United states,7/6/2019,
3845,Data Scientist,CITIUSTECH,Lake forest,California,United states,7/6/2019,
3846,Data Scientist,CISCO MERAKI,San francisco,California,United states,7/6/2019,
3847,Data Scientist,IQVIA,Plymouth meeting,Pennsylvania,United states,7/6/2019,
3848,Data Scientist,BOOZ ALLEN HAMILTON,Arlington,Virginia,United states,7/6/2019,
3850,Data Scientist,COMPANY INFO FOLLOW GET JOB UPDATES FROM BOOZ ALLEN HAMILTON BOOZ ALLEN HAMILTON,Arlington,Virginia,United states,7/6/2019,
3851,Data Scientist,BOOZ ALLEN HAMILTON,Arlington,Virginia,United states,7/6/2019,
3852,Data Scientist,SOCIAL SCIENCE RESEARCH SOLUTIONS (SSRS),,Pennsylvania,United states,7/6/2019,
3853,Data Scientist,SMART APARTMENT DATA,Austin,Texas,United states,7/6/2019,
3854,Data Scientist,PROJAS TECHNOLOGIES,Santa clara,California,United states,7/7/2019,
3855,Data Scientist,KFORCE TECHNOLOGY STAFFING,Boston,Massachusetts,United states,7/7/2019,
3856,Data Scientist,KFORCE TECHNOLOGY STAFFING,Washington,District of columbia,United states,7/7/2019,
3857,Data Scientist,NATIONAL UNIVERSITY,San diego,California,United states,7/6/2019,
3858,Data Scientist,MANULIFE,Boston,Massachusetts,United states,7/7/2019,
3859,Data Scientist,RISIRISA,New york,New york,United states,7/7/2019,
3860,Data Scientist,CELONIS,New york,New york,United states,7/7/2019,
3861,Data Scientist,COMPANY INFO FOLLOW GET JOB UPDATES FROM SOCIAL SCIENCE RESEARCH SOLUTIONS (SSRS),,Pennsylvania,United states,7/7/2019,
3863,Data Scientist,BRAINS WORKGROUP,Cambridge,Massachusetts,United states,7/8/2019,
3864,Data Scientist,STEFANINI,Arlington,Virginia,United states,7/8/2019,
3865,Data Scientist,SOCIAL SCIENCE RESEARCH SOLUTIONS (SSRS),,Pennsylvania,United states,7/7/2019,
3866,Data Scientist,KPMG,Austin,Texas,United states,7/6/2019,
3867,Data Scientist,SPHEREOI STUDIOS,Mclean,Virginia,United states,7/5/2019,
3868,Data Scientist,SOCIAL SCIENCE RESEARCH SOLUTIONS (SSRS),,Pennsylvania,United states,7/7/2019,
3869,Data Scientist,SOCIAL SCIENCE RESEARCH SOLUTIONS (SSRS),,Pennsylvania,United states,7/7/2019,
3870,Data Scientist,SOCIAL SCIENCE RESEARCH SOLUTIONS (SSRS),,Pennsylvania,United states,7/8/2019,
3871,Data Scientist,PEARSON,Boulder,Colorado,United states,7/8/2019,
3872,Data Scientist,SOCIAL SCIENCE RESEARCH SOLUTIONS (SSRS),,Pennsylvania,United states,7/8/2019,
3873,Data Scientist,MOTIION INC,,,United states,7/8/2019,
3874,Data Scientist,CYBERCODERS,Woodbridge,New jersey,United states,7/6/2019,
3875,Data Scientist,CYBERCODERS,Cambridge,Massachusetts,United states,7/6/2019,
3876,Data Scientist,THE JUDGE GROUP,New york,New york,United states,7/8/2019,
3877,Data Scientist,CYBERCODERS,New york,New york,United states,7/8/2019,
3878,Data Scientist,RYDER,Franklin,Tennessee,United states,6/5/2019,
3879,Data Scientist,HONORVET TECHNOLOGIES,,Maryland,United states,7/8/2019,
3880,Data Scientist,CYBERCODERS,San francisco,California,United states,7/8/2019,
3881,Data Scientist,RANDSTAD TECHNOLOGIES,Redmond,Washington,United states,7/8/2019,
3882,Data Scientist,CYBERCODERS,Washington,District of columbia,United states,7/8/2019,
3883,Data Scientist,NORWIN TECHNOLOGIES,Phoenix,Arizona,United states,5/29/2019,
3884,Data Scientist,DUN & BRADSTREET,Short hills,New jersey,United states,7/9/2019,
3885,Data Scientist,SPRINKLR,New york,New york,United states,7/9/2019,
3887,Data Scientist,DELOITTE,Tampa,Florida,United states,7/9/2019,
3888,Data Scientist,SOCIAL SCIENCE RESEARCH SOLUTIONS (SSRS),,Pennsylvania,United states,7/9/2019,
3889,Data Scientist,TAE TECHNOLOGIES,,California,United states,7/9/2019,
3890,Data Scientist,APPLE,Santa clara,California,United states,7/9/2019,
3891,Data Scientist,MONETATE,Conshohocken,Pennsylvania,United states,7/9/2019,
3892,Data Scientist,BANK OF AMERICA,Chicago,Illinois,United states,7/9/2019,
3893,Data Scientist,SOCIAL SCIENCE RESEARCH SOLUTIONS (SSRS),,Pennsylvania,United states,7/9/2019,
3894,Data Scientist,COMPANY INFO FOLLOW GET JOB UPDATES FROM HARBOR WHOLESALE FOODS HARBOR WHOLESALE FOODS,Lacey,Washington,United states,7/9/2019,
3895,Data Scientist,SAN JOSE STATE UNIVERSITY,San jose,California,United states,7/9/2019,
3896,Data Scientist,PERSONAL CAPITAL,,California,United states,7/9/2019,
3897,Data Scientist,AAA TEXAS,Coppell,Texas,United states,7/5/2019,
3898,Data Scientist,MUNCHKIN INC,Los angeles,California,United states,6/28/2019,
3899,Data Scientist,NELNET,Lincoln,Nebraska,United states,6/29/2019,
3900,Data Scientist,THE UNIVERSITY OF CHICAGO,Chicago,Illinois,United states,7/9/2019,
3901,Data Scientist,FAVOR TECHCONSULTING,,District of columbia,United states,7/10/2019,
3902,Data Scientist,UNIVERSITY OF MARYLAND,College park,Maryland,United states,7/9/2019,
3903,Data Scientist,TUFTS UNIVERSITY,Medford,Massachusetts,United states,6/29/2019,
3904,Data Scientist,BANK OF AMERICA,Charlotte,North carolina,United states,7/10/2019,
3905,Data Scientist,TRANSUNION,Chicago,Illinois,United states,7/4/2019,
3906,Data Scientist,BANK OF AMERICA,New york,New york,United states,7/10/2019,
3907,Data Scientist,EDISON SOFTWARE,San jose,California,United states,7/9/2019,
3908,Data Scientist,CDK GLOBAL,Austin,Texas,United states,7/6/2019,
3909,Data Scientist,ACCENTURE,Washington,District of columbia,United states,7/6/2019,
3910,Data Scientist,OGSYSTEMS,Springfield,Virginia,United states,7/10/2019,
3911,Data Scientist,BUTTERFLY NETWORK,New york,New york,United states,7/10/2019,
3912,Data Scientist,ALIGN TECHNOLOGY,Raleigh,North carolina,United states,7/10/2019,
3913,Data Scientist,AMAZON.COM SERVICES,Seattle,Washington,United states,7/10/2019,
3914,Data Scientist,TARGET,Minneapolis,Minnesota,United states,7/4/2019,
3915,Data Scientist,AMAZON.COM SERVICES,East palo alto,California,United states,7/10/2019,
3916,Data Scientist,LEXINSIGHT,New york,New york,United states,7/10/2019,
3917,Data Scientist,DELOITTE,,Virginia,United states,7/10/2019,
3918,Data Scientist,SOCIAL SCIENCE RESEARCH SOLUTIONS (SSRS),,Pennsylvania,United states,7/10/2019,
3919,Data Scientist,BD,San diego,California,United states,7/10/2019,
3920,Data Scientist,SOCIAL SCIENCE RESEARCH SOLUTIONS (SSRS),,Pennsylvania,United states,7/10/2019,
3921,Data Scientist,BD,San diego,California,United states,7/10/2019,
3922,Data Scientist,ADP,Parsippany,New jersey,United states,7/10/2019,
3923,Data Scientist,COMPANY INFO FOLLOW GET JOB UPDATES FROM UNITED STATES OLYMPIC & PARALYMPIC COMMITTEE,Colorado springs,Colorado,United states,7/10/2019,
3924,Data Scientist,1-800-FLOWERS,Carle place,New york,United states,6/29/2019,
3925,Data Scientist,UNIVERSITY HOSPITAL,Newark,New jersey,United states,7/9/2019,
3926,Data Scientist,COMPANY INFO FOLLOW GET JOB UPDATES FROM SOCIAL SCIENCE RESEARCH SOLUTIONS (SSRS),,Pennsylvania,United states,7/11/2019,
3927,Data Scientist,LYFT,Seattle,Washington,United states,7/11/2019,
3928,Data Scientist,KPMG,Seattle,Washington,United states,7/11/2019,
3929,Data Scientist,COMPANY INFO FOLLOW GET JOB UPDATES FROM INTERMEDIA ADVERTISING,Los angeles,California,United states,7/11/2019,
3930,Data Scientist,PAYPAL,Timonium,Maryland,United states,7/11/2019,
3931,Data Scientist,COMPANY INFO FOLLOW GET JOB UPDATES FROM METHODIST LE BONHEUR HEALTHCARE METHODIST LE BONHEUR HEALTHCARE,,Oregon,United states,6/11/2019,
3932,Data Scientist,COMPANY INFO FOLLOW GET JOB UPDATES FROM METHODIST LE BONHEUR HEALTHCARE METHODIST LE BONHEUR HEALTHCARE,,Oregon,United states,6/11/2019,
3933,Data Scientist,METHODIST LE BONHEUR HEALTHCARE,,Oregon,United states,6/11/2019,
3934,Data Scientist,COMPANY INFO FOLLOW GET JOB UPDATES FROM METHODIST LE BONHEUR HEALTHCARE METHODIST LE BONHEUR HEALTHCARE,,Oregon,United states,6/11/2019,
3935,Data Scientist,CHENEGA CORPORATION,Alexandria,Virginia,United states,7/10/2019,
3936,Data Scientist,INTEGRAL AD SCIENCE,New york,New york,United states,7/11/2019,
3937,Data Scientist,ELIASSEN GROUP,New york,New york,United states,7/8/2019,
3938,Data Scientist,CYBERCODERS,Houston,Texas,United states,7/10/2019,
3939,Data Scientist,KFORCE,Boston,Massachusetts,United states,7/11/2019,
3940,Data Scientist,CYBERCODERS,San francisco,California,United states,7/9/2019,
3941,Data Scientist,CHRISTUS HEALTH,Irving,Texas,United states,7/11/2019,
3942,Data Scientist,NUWARE TECHNOLOGIES,Iselin,New jersey,United states,7/10/2019,
3943,Data Scientist,METHODIST LE BONHEUR HEALTHCARE,,Oregon,United states,6/11/2019,
3944,Data Scientist,IBM,New york,New york,United states,7/7/2019,
3945,Data Scientist,CYBERCODERS,Palo alto,California,United states,7/11/2019,
3946,Data Scientist,HONEYWELL,Pittsburgh,Pennsylvania,United states,7/10/2019,
3947,Data Scientist,CYBERCODERS,Danvers,Massachusetts,United states,7/11/2019,
3948,Data Scientist,INTUIT,Mountain view,California,United states,7/10/2019,
